Charity number,Charity name,Status,Income,Reporting,links
205533.0,NUFFIELD HEALTH,Registered,"£1,238,400,000",Received: On time,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/205533
210183.0,WELLCOME TRUST,Registered,"£502,291,234",Received: On time,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/210183
1076822.0,SAVE THE CHILDREN INTERNATIONAL,Registered,"£1,309,489,397",Received: On time,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/3961959
,,,,,
